epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.3612,0.85344,0.84889,0.98778,0.49024,0.05072,0.000497778,0.000497778
2,75.4514,0.33746,0.90889,0.99556,0.30288,0.00121577,0.000993552,0.000993552
3,111.978,0.26261,0.92,0.99667,0.27054,0.000983133,0.000983133,0.000983133
4,149.567,0.20883,0.94,0.99611,0.20002,0.00096232,0.00096232,0.00096232
5,186.402,0.16117,0.94444,0.99833,0.17292,0.000933683,0.000933683,0.000933683
6,223.18,0.13512,0.95167,0.99833,0.15491,0.00089771,0.00089771,0.00089771
7,259.782,0.13821,0.95667,0.99833,0.13576,0.000855018,0.000855018,0.000855018
8,296.155,0.10068,0.96833,0.99944,0.11516,0.000806337,0.000806337,0.000806337
9,332.594,0.08401,0.96722,0.99778,0.12369,0.0007525,0.0007525,0.0007525
10,369.21,0.08067,0.96778,0.99778,0.11355,0.000694428,0.000694428,0.000694428
11,406.415,0.06885,0.97278,0.99889,0.08741,0.000633115,0.000633115,0.000633115
12,442.935,0.06221,0.97278,0.99889,0.1111,0.00056961,0.00056961,0.00056961
13,480.081,0.05083,0.97167,0.99944,0.08941,0.000505,0.000505,0.000505
14,517.462,0.04916,0.97444,0.99944,0.09649,0.00044039,0.00044039,0.00044039
15,556.293,0.04277,0.97111,0.99889,0.10289,0.000376885,0.000376885,0.000376885
16,593.602,0.04326,0.97278,0.99833,0.07926,0.000315572,0.000315572,0.000315572
17,630.132,0.02786,0.97722,0.99833,0.09187,0.0002575,0.0002575,0.0002575
18,666.461,0.02554,0.98,0.99889,0.0769,0.000203663,0.000203663,0.000203663
19,703.177,0.02358,0.97444,0.99889,0.08208,0.000154982,0.000154982,0.000154982
20,739.757,0.02205,0.97833,0.99889,0.08052,0.00011229,0.00011229,0.00011229
21,776.738,0.02019,0.97722,0.99833,0.08124,7.63174e-05,7.63174e-05,7.63174e-05
22,813.638,0.02389,0.97889,0.99889,0.07929,4.76796e-05,4.76796e-05,4.76796e-05
23,850.907,0.01723,0.97944,0.99889,0.07829,2.68667e-05,2.68667e-05,2.68667e-05
24,888.515,0.01818,0.97889,0.99833,0.08627,1.42348e-05,1.42348e-05,1.42348e-05
